Date,Open,High,Low,Close,Volume,Turnover
2015-07-07,2632.75,2646.9,2603.0,2616.25,821418,215851041305000.03
2015-07-08,2597.95,2621.7,2580.5,2595.1,1333925,346374532860000.0
2015-07-09,2595.0,2598.25,2506.65,2522.5,1967061,499706943689999.94
2015-07-10,2559.0,2559.0,2455.0,2474.35,4131827,1028599040490000.0
2015-07-13,2475.4,2518.6,2475.4,2509.55,1140154,285294609545000.0
2015-07-14,2511.0,2515.0,2490.0,2499.5,851637,212876735585000.0
2015-07-15,2501.0,2549.95,2500.0,2545.75,1001830,253916925965000.0
2015-07-16,2543.7,2558.85,2526.6,2540.2,728304,185246930105000.0
2015-07-17,2546.8,2570.1,2543.3,2564.4,535263,136921246255000.0
2015-07-20,2564.0,2583.9,2551.9,2579.15,426893,109777396755000.0
2015-07-21,2576.0,2600.35,2555.1,2561.4,637250,164087481180000.0
2015-07-22,2561.0,2569.0,2521.05,2528.05,660314,167218024840000.0
2015-07-23,2517.5,2537.85,2483.0,2488.6,748390,187491648540000.0
2015-07-24,2497.5,2516.5,2492.1,2505.15,787486,197350844460000.0
2015-07-27,2488.0,2505.0,2481.15,2497.05,1001869,250157842365000.0
2015-07-28,2499.5,2519.0,2492.15,2502.05,945594,237294797575000.0
2015-07-29,2511.0,2515.05,2483.5,2506.75,1206659,301867154530000.0
2015-07-30,2516.05,2516.8,2472.8,2480.65,1385287,344978285045000.0
2015-07-31,2489.9,2519.0,2487.0,2510.75,981888,245690701980000.03
2015-08-03,2503.4,2525.0,2500.9,2509.6,589662,148249201475000.0
2015-08-04,2510.4,2523.0,2486.0,2508.9,1171346,292873711380000.0
2015-08-05,2520.0,2550.0,2511.0,2547.15,494497,125565200155000.0
2015-08-06,2565.0,2583.0,2550.1,2573.3,1105683,283746097370000.0
2015-08-07,2573.0,2573.0,2547.0,2552.05,594253,152045796810000.0
2015-08-10,2572.0,2589.0,2556.6,2572.1,715591,184370154265000.0
2015-08-11,2578.0,2610.0,2542.1,2604.2,1100153,285552687690000.0
2015-08-12,2603.1,2691.4,2602.0,2671.7,1739892,462546014314999.94
2015-08-13,2670.0,2684.0,2556.0,2635.6,703213,186505713810000.0
2015-08-14,2638.0,2719.35,2637.1,2703.2,1146982,308401606740000.0
2015-08-17,2690.1,2696.8,2655.0,2684.75,386822,103420779720000.0
2015-08-18,2706.9,2749.9,2690.0,2740.9,958463,262298463255000.03
2015-08-19,2750.0,2752.85,2721.9,2733.6,845035,231460037350000.0
2015-08-20,2745.0,2745.0,2672.0,2686.85,1174649,317477177120000.0
2015-08-21,2712.0,2729.9,2655.1,2676.15,1768040,474594336130000.0
2015-08-24,2639.0,2645.0,2569.1,2578.65,2346172,609992831760000.0
2015-08-25,2587.9,2622.0,2535.5,2567.15,1962900,505375128475000.0
2015-08-26,2558.05,2639.0,2511.95,2576.75,1608079,416803329530000.0
2015-08-27,2614.9,2614.9,2545.8,2574.65,2632399,677291640590000.0
2015-08-28,2609.0,2609.0,2557.7,2570.85,1372076,354258511895000.0
2015-08-31,2590.0,2590.0,2531.05,2564.05,1846022,473694451870000.0
2015-09-01,2556.0,2611.2,2530.0,2537.4,1493801,384578953050000.0
2015-09-02,2559.7,2620.45,2548.0,2591.8,1882975,488652294545000.0
2015-09-03,2596.1,2615.0,2576.25,2605.6,1132537,293865969020000.0
2015-09-04,2611.4,2614.9,2539.15,2547.45,1213198,311665198535000.0
2015-09-07,2553.0,2559.95,2532.7,2539.75,879592,223988315980000.03
2015-09-08,2545.0,2564.1,2523.5,2540.3,893873,227089993094999.97
2015-09-09,2562.95,2574.0,2544.0,2549.75,1022538,261569201425000.0
2015-09-10,2542.0,2578.5,2527.0,2545.4,1332909,340401963810000.0
2015-09-11,2546.5,2568.4,2540.6,2552.0,796336,203351663785000.0
2015-09-14,2565.0,2565.0,2543.0,2551.65,794659,202875015155000.0
2015-09-15,2551.65,2558.9,2536.0,2547.6,689950,175858396195000.0
2015-09-16,2555.0,2565.0,2541.05,2550.35,878408,224327605165000.0
2015-09-18,2565.0,2586.0,2539.0,2551.25,1227647,314914130585000.0
2015-09-21,2550.0,2557.1,2533.2,2551.05,554420,141142975740000.0
2015-09-22,2557.5,2572.4,2490.0,2526.8,1040623,264853628415000.0
2015-09-23,2534.3,2557.75,2512.6,2532.65,614176,155593159675000.0
2015-09-24,2535.5,2590.0,2529.9,2580.4,1177127,301556264485000.0
2015-09-28,2594.0,2619.0,2579.5,2593.7,1183406,308082083395000.0
2015-09-29,2583.35,2634.0,2569.85,2588.25,1662976,432994617064999.94
2015-09-30,2643.7,2643.7,2570.95,2588.05,1684168,435522706805000.0
2015-10-01,2599.0,2649.95,2592.2,2644.6,1417204,372791411480000.0
2015-10-05,2652.7,2770.0,2652.7,2711.65,2403653,651724834320000.0
2015-10-06,2725.0,2726.0,2684.0,2700.0,1989795,538218936520000.0
2015-10-07,2693.95,2717.0,2646.95,2653.95,1032765,276573077340000.0
2015-10-08,2670.0,2678.35,2620.0,2633.8,1178775,311504944130000.0
2015-10-09,2650.5,2650.6,2608.0,2629.65,1124862,295707334525000.0
2015-10-12,2655.0,2660.35,2587.0,2592.6,1227956,320762545435000.0
2015-10-13,2602.8,2612.0,2567.6,2598.55,3089856,800153587760000.0
2015-10-14,2548.0,2548.0,2480.0,2483.7,4168564,1043222048029999.9
2015-10-15,2490.0,2503.5,2465.0,2467.75,1607855,398451186685000.0
2015-10-16,2480.9,2492.0,2470.0,2473.75,1166914,289145171010000.0
2015-10-19,2490.0,2494.95,2455.85,2488.75,1565321,387244983110000.0
2015-10-20,2496.25,2530.0,2495.6,2526.75,1347542,339708985545000.0
2015-10-21,2535.0,2542.0,2522.25,2530.0,964844,244344915855000.03
2015-10-23,2548.0,2548.0,2527.3,2537.15,1167699,295971346590000.0
2015-10-26,2549.0,2549.0,2515.1,2536.55,707315,178962175530000.0
2015-10-27,2530.05,2544.9,2520.35,2531.1,765210,193706744275000.0
2015-10-28,2510.05,2533.55,2510.05,2529.1,627671,158431178780000.0
2015-10-29,2533.55,2535.4,2490.05,2495.35,1565158,391298645560000.0
2015-10-30,2500.0,2511.9,2485.0,2495.2,758348,189278696745000.0
2015-11-02,2500.0,2522.8,2487.55,2517.35,659647,165436876290000.0
2015-11-03,2528.0,2547.8,2518.5,2543.45,682453,173130298455000.0
2015-11-04,2545.0,2547.2,2520.0,2533.8,495717,125528959109999.98
2015-11-05,2530.8,2534.95,2480.0,2482.65,798049,199267674145000.0
2015-11-06,2492.0,2518.25,2483.45,2505.75,454012,113845260605000.0
2015-11-09,2495.0,2502.75,2468.6,2471.35,1010778,250458950850000.0
2015-11-10,2472.95,2477.0,2450.0,2458.15,680960,167740779595000.0
2015-11-11,2475.0,2475.0,2450.0,2468.8,67582,16675497755000.002
2015-11-13,2438.05,2438.05,2386.55,2397.4,1371616,329915530345000.0
2015-11-16,2390.0,2390.0,2356.0,2374.6,1021764,242323759710000.0
2015-11-17,2380.5,2398.45,2375.0,2390.55,992514,236798902785000.0
2015-11-18,2388.9,2388.9,2346.0,2351.45,760176,179271701600000.0
2015-11-19,2365.35,2381.6,2352.0,2362.55,933453,220868074955000.03
2015-11-20,2366.5,2423.55,2361.95,2398.35,1006063,241779041840000.0
2015-11-23,2405.3,2413.4,2382.25,2391.05,544041,130440539184999.98
2015-11-24,2380.05,2392.45,2365.5,2367.95,499320,118769459609999.98
2015-11-26,2377.9,2382.4,2337.85,2345.55,1457646,343350889610000.0
2015-11-27,2348.0,2359.45,2332.5,2353.35,868603,204008616375000.0
2015-11-30,2365.0,2391.25,2350.15,2364.7,2050024,484874478220000.0
2015-12-01,2362.9,2378.05,2357.05,2361.9,860997,203526711000000.0
2015-12-02,2378.0,2378.1,2346.5,2365.2,820148,193789603975000.0
2015-12-03,2360.0,2373.0,2347.0,2350.75,1141679,269046759875000.0
2015-12-04,2340.0,2347.3,2321.1,2328.4,623046,145174734845000.0
2015-12-07,2332.2,2343.9,2315.25,2319.8,691302,160539041210000.0
2015-12-08,2319.4,2349.0,2317.3,2329.0,569982,132973919555000.0
2015-12-09,2337.9,2372.8,2320.0,2367.65,2641403,623695383025000.0
2015-12-10,2369.0,2391.2,2352.0,2384.55,861994,204708426650000.0
2015-12-11,2383.0,2391.95,2363.25,2386.0,826189,196974581820000.0
2015-12-14,2335.2,2387.0,2330.6,2378.45,1359266,321444335375000.0
2015-12-15,2378.45,2385.0,2363.05,2375.85,567934,134885915130000.0
2015-12-16,2384.0,2414.5,2384.0,2408.4,717967,172460935580000.0
2015-12-17,2415.0,2445.0,2393.35,2439.75,809422,195764707825000.0
2015-12-18,2420.0,2434.2,2400.65,2416.8,1512485,365419788625000.0
2015-12-21,2419.95,2450.0,2406.85,2446.4,805052,195498897035000.0
2015-12-22,2440.0,2440.0,2400.0,2405.05,780429,188343036260000.0
2015-12-23,2415.0,2435.0,2410.55,2425.8,424917,103044935060000.0
2015-12-24,2421.0,2438.2,2404.0,2434.25,421580,102192401425000.0
2015-12-28,2428.0,2466.4,2420.2,2462.7,1852099,454689566400000.0
2015-12-29,2458.35,2465.3,2445.75,2455.8,854262,209487508650000.0
2015-12-30,2453.05,2459.0,2412.3,2418.3,802881,196068199690000.0
2015-12-31,2415.75,2448.5,2407.5,2436.85,620159,150630258720000.0
