Date,Date,Open,High,Low,Close,Volume,Turnover,Year,Month,Day,WeekOfYear,vol_(t+1),volume_shock,VOL_SHOCK_DIR,price_t+1,price_shock,price_black_swan,PRICE_SHOCK_DIR,BLACK_SWAN_SHOCK_DIR,not_vol_shock,price_shock_w/0_vol_shock
2015-07-20,2015-07-20,2564.0,2583.9,2551.9,2579.15,426893,109777396755000.0,2015,7,20,30,535263.0,1,1.0,2564.4,0,0,,,0,0
2015-07-21,2015-07-21,2576.0,2600.35,2555.1,2561.4,637250,164087481180000.0,2015,7,21,30,426893.0,1,0.0,2579.15,0,0,,,0,0
2015-07-22,2015-07-22,2561.0,2569.0,2521.05,2528.05,660314,167218024840000.0,2015,7,22,30,637250.0,0,,2561.4,0,0,,,1,0
2015-07-23,2015-07-23,2517.5,2537.85,2483.0,2488.6,748390,187491648540000.0,2015,7,23,30,660314.0,1,0.0,2528.05,0,0,,,0,0
2015-07-24,2015-07-24,2497.5,2516.5,2492.1,2505.15,787486,197350844460000.0,2015,7,24,30,748390.0,0,,2488.6,0,0,,,1,0
2015-07-25,2015-07-24,2497.5,2516.5,2492.1,2505.15,787486,197350844460000.0,2015,7,24,30,787486.0,0,,2505.15,0,0,,,1,0
2015-07-26,2015-07-24,2497.5,2516.5,2492.1,2505.15,787486,197350844460000.0,2015,7,24,30,787486.0,0,,2505.15,0,0,,,1,0
2015-07-27,2015-07-27,2488.0,2505.0,2481.15,2497.05,1001869,250157842365000.0,2015,7,27,31,787486.0,1,0.0,2505.15,0,0,,,0,0
2015-07-28,2015-07-28,2499.5,2519.0,2492.15,2502.05,945594,237294797575000.0,2015,7,28,31,1001869.0,0,,2497.05,0,0,,,1,0
2015-07-29,2015-07-29,2511.0,2515.05,2483.5,2506.75,1206659,301867154530000.0,2015,7,29,31,945594.0,1,0.0,2502.05,0,0,,,0,0
2015-07-30,2015-07-30,2516.05,2516.8,2472.8,2480.65,1385287,344978285045000.0,2015,7,30,31,1206659.0,1,0.0,2506.75,0,0,,,0,0
2015-07-31,2015-07-31,2489.9,2519.0,2487.0,2510.75,981888,245690701980000.03,2015,7,31,31,1385287.0,1,1.0,2480.65,0,0,,,0,0
2015-08-01,2015-07-31,2489.9,2519.0,2487.0,2510.75,981888,245690701980000.03,2015,7,31,31,981888.0,0,,2510.75,0,0,,,1,0
2015-08-02,2015-07-31,2489.9,2519.0,2487.0,2510.75,981888,245690701980000.03,2015,7,31,31,981888.0,0,,2510.75,0,0,,,1,0
2015-08-03,2015-08-03,2503.4,2525.0,2500.9,2509.6,589662,148249201475000.0,2015,8,3,32,981888.0,1,1.0,2510.75,0,0,,,0,0
2015-08-04,2015-08-04,2510.4,2523.0,2486.0,2508.9,1171346,292873711380000.0,2015,8,4,32,589662.0,1,0.0,2509.6,0,0,,,0,0
2015-08-05,2015-08-05,2520.0,2550.0,2511.0,2547.15,494497,125565200155000.0,2015,8,5,32,1171346.0,1,1.0,2508.9,0,0,,,0,0
2015-08-06,2015-08-06,2565.0,2583.0,2550.1,2573.3,1105683,283746097370000.0,2015,8,6,32,494497.0,1,0.0,2547.15,0,0,,,0,0
2015-08-07,2015-08-07,2573.0,2573.0,2547.0,2552.05,594253,152045796810000.0,2015,8,7,32,1105683.0,1,1.0,2573.3,0,0,,,0,0
2015-08-08,2015-08-07,2573.0,2573.0,2547.0,2552.05,594253,152045796810000.0,2015,8,7,32,594253.0,0,,2552.05,0,0,,,1,0
2015-08-09,2015-08-07,2573.0,2573.0,2547.0,2552.05,594253,152045796810000.0,2015,8,7,32,594253.0,0,,2552.05,0,0,,,1,0
